Front,Back
"Name the vocab term: adj. deserved, adequate Hint: starts with “c”","condign synonyms: appropriate, proper, fair, deserved, fitting The judge handed down a condign sentence that matched the severity of the crime."
"Fill in the blank: The ______ host made everyone feel at ease at the party. Hint: Starts with “d” and means “confident, stylish, and charming”.","debonair debonair (deb-uh-nair) adj. suave, urbane, affable, genial, charming"
"Name the vocab term: v. to obtain by deception or flattery Hint: starts with “i”","inveigle synonyms: manipulate, cajole, ensnare, entice, lure He managed to inveigle the secret from his friend by feigning interest."
"Fill in the blank: Despite his wealth, he was considered a ______ for his disregard of fine art and literature. Hint: Starts with “p” and means “a person indifferent to culture”.","philistine philistine (fil-uh-steen) adj. barbaric; lacking culture n. an individual guided by commonplace, rather than artistic or intellectual, values"
"Name the vocab term: v. to spread through or over something, as with liquid, color, or light Hint: starts with “s”","suffuse synonyms: bathe, cover, saturate, permeate, infuse The sunset suffused the sky with brilliant shades of orange and pink."
"Fill in the blank: The ______ knight charged bravely into battle. Hint: Starts with “m” and means “spirited and courageous”.","mettlesome mettlesome (met-uhl-sum) adj. courageous, high-spirited"
"Name the vocab term: n. hesitation or unease at committing (or having committed) an act Hint: starts with “c”","compunction synonyms: regret, sorrow, qualm, guilt, remorse She felt a pang of compunction after lying to her friend."
"Fill in the blank: His actions ______ the company's code of conduct. Hint: Starts with “c” and means “to violate or contradict”.","contravene contravene (kon-truh-veen) v. to violate, or to conflict with a rule or principle"
"Name the vocab term: v. to draw; to describe; to depict Hint: starts with “l”","limn synonyms: characterize, chart, depict, illustrate, outline The artist limns the landscape with delicate strokes."
"Fill in the blank: The politician faced ______ after the scandal was exposed. Hint: Starts with “o” and means “strong public criticism”.","obloquy obloquy (ob-luh-kwee) n. abusive language; damage to one's reputation; disgrace"
"Name the vocab term: v. to decrease in intensity Hint: starts with “a”","abate synonyms: lessen, moderate, diminish, decrease, reduce The storm began to abate, allowing us to go outside."
"Fill in the blank: The king chose to ______ rather than face civil unrest. Hint: Starts with “a” and means “to give up a position of power”.","abdicate abdicate (ab-dih-kate) v. to willingly let go of; to relinquish"
"Name the vocab term: adj. abnormal, deviating from the norm Hint: starts with “a”","aberrant synonyms: atypical, bizarre, deviant, abnormal, irregular The aberrant behavior of the dog raised concerns among its owners."
"Fill in the blank: The rough surface began to ______ the paint on the wall. Hint: Starts with “a” and means “to wear away by scraping”.","abrade abrade (uh-brehyd) v. to erode or rub away"
"Define: abridge (uh-bridge)","v. to condense; to shorten The author threw a fit when his editor suggested that he abridge his novel in order to make it more accessible. Prefix: ab- (from Latin, meaning “away”)"
"Define: abscond (ab-skond)","v. to run away secretly and hide The guilty man absconded during the night and was never heard from again. Prefix: ab- (from Latin, meaning “away”)"
"Define: abstruse (ab-strewss)","adj. difficult to comprehend That film has been praised as a visionary masterpiece, but I found it more abstruse than enlightening. Prefix: ab- (from Latin, meaning “away”)"
"Define: accolade (ack-uh-lehyd)","n. recognition for an accomplishment Cindy received accolades in the media for her breathtaking performance. Root: col (from Latin collum, meaning “neck”)"
"Define: acerbic (uh-sir-bick)","adj. sour or bitter tasting, or of a bitter temperament My friends' acerbic reaction to bringing my boyfriend to the game led me to believe that they didn't care much for him. Root: acerb (from Latin acerbus, meaning “bitter”)"
"Define: acumen (ack-cue-men)","n. insightfulness Kofi was known for his acumen in literary analysis. Root: acu (from Latin acumen, meaning “sharpness”)"
"Define: adhesion (ad-hee-zhun)","n. the state of being physically attached n. the state of belonging to an organization Adhesion to the regional economic union became a popular cause among the elites of the recession-weary nation. Prefix: ad- (from Latin, meaning “to” or “toward”)"
"Define: admonish (ad-mon-ish)","v. to warn, to gently reprimand The pilot admonished the passengers to remain seated during take off. Prefix: ad- (from Latin, meaning “to” or “toward”)"
"Define: adroit (ad-royt)","adj. skillful, competent The boy scout was an adroit survivalist and so managed to cling to life until a rescue team arrived. Prefix: ad- (from Latin, meaning “to” or “toward”)"
"Define: adulate (adge-uh-lehyt)","v. to give excessive praise Rather than adulate his superiors, Moncef preferred to show his regard by emulating them. Prefix: ad- (from Latin, meaning “to” or “toward”)"
"Define: affable (aff-uh-buhl)","adj. gentle, friendly, or of a kind nature Stacy was an affable acquaintance to many but a real friend to few. Prefix: af- (variant of ad-, from Latin, meaning “to” or “toward”)"
"Define: affluent (aff-loo-uhnt)","adj. wealthy Membership in the private club was only open to affluent members of society. Prefix: af- (variant of ad-, from Latin, meaning “to” or “toward”)"
"Define: aggrandize (uh-gran-dahyz)","v. to exaggerate; to increase the scope of or to make greater Luke had aggrandized his credentials so much that he was fired on the spot when it was discovered that he was just a novice. Prefix: ag- (variant of ad-, from Latin, meaning “to” or “toward”)"
"Define: affront (uh-front)","n. an offensive act or statement v. to insult openly Lucia's ingratitude was an affront to all of us who had supported her. Prefix: af- (variant of ad-, from Latin, meaning “to” or “toward”)"
"Define: agrarian (uh-grair-ee-uhn)","adj. pertaining to farming or land matters The farmer switched from his habitual agrarian routine to that of a high-powered business CEO in just a few years. Root: agr (from Latin ager, meaning “field”)"
"Define: alacrity (uh-lack-ruh-tee)","n. enthusiasm; speed Children approach their homework with more alacrity if they know that a reward awaits them when they finish. Root: alacr (from Latin alacritas, meaning “eagerness”)"
"Define: vug (vuhg)","n. a small cavity in a rock She hid her trinkets in the vug for safekeeping. Root: vug (from Cornish vooga, meaning “cave”)"
"Define: petrous (pet-ruhss)","adj. rock-hard; stony The skull of the fetus has not yet become petrous; in fact, it is still translucent to x-rays at this stage. Root: petr (from Greek petros, meaning “rock”)"
"Define: tautology (tawt-aw-luh-djee)","n. a statement that is trivially true; unnecessary repetition It is no help to anybody when you spout tautologies like “Whatever will be will be”. Root: tauto (from Greek tautos, meaning “the same”)"
"Define: gambol (gam-buhl)","v. to skip playfully, to frolic The youngsters went gamboling through the fields. Root: gamb (from Old French gambade, meaning “a leap”)"
"Name the vocab term: v. to condense; to shorten Hint: starts with “a”","abridge synonyms: reduce, refine, abbreviate, shorten, condense The editor decided to abridge the lengthy manuscript."
"Fill in the blank: The thief managed to ______ with the jewelry before anyone noticed. Hint: Starts with “a” and means “to leave secretly”.","abscond abscond (ab-skond) v. to run away secretly and hide"
"Name the vocab term: adj. difficult to comprehend Hint: starts with “a”","abstruse synonyms: abstract, enigmatic, incomprehensible, obscure, confusing The professor's lecture on quantum physics was incredibly abstruse."
"Fill in the blank: She received ______ for her outstanding contributions to science. Hint: Starts with “a” and means “an award or honor”.","accolades accolade (ack-uh-lehyd) n. recognition for an accomplishment"
"Name the vocab term: adj. sour or bitter tasting or with bitter temperament Hint: starts with “a”","acerbic synonyms: acrid, caustic, sharp, biting, sarcastic His acerbic comments often left others feeling hurt."
"Fill in the blank: Her business ______ helped the company thrive in a competitive market. Hint: Starts with “a” and means “keen insight”.","acumen acumen (ack-cue-men) n. insightfulness"
"Name the vocab term: n. the state of being physically attached n. the state of belonging to an organization Hint: starts with “a”","adhesion synonyms: adherence, membership, attachment, bonding, allegiance The adhesion of the paint to the wall was remarkable."
"Fill in the blank: The teacher ______ the student for being late. Hint: Starts with “a” and means “to warn or reprimand”.","admonished admonish (ad-mon-ish) v. to warn, to gently reprimand"
"Name the vocab term: adj. skillful, competent Hint: starts with “a”","adroit synonyms: adept, apt, expert, skillful, proficient His adroit handling of the situation impressed everyone."
"Fill in the blank: The critics ______ the film as a masterpiece. Hint: Starts with “a” and means “to flatter excessively”.","adulated adulate (adge-uh-lehyt) v. to give excessive praise"
"Name the vocab term: adj. gentle, friendly, or of a kind nature Hint: starts with “a”","affable synonyms: cordial, pleasant, friendly, sociable, genial Her affable personality made her popular among her peers."
"Fill in the blank: The ______ family hosted a lavish charity gala. Hint: Starts with “a” and means “wealthy”.","affluent affluent (aff-loo-uhnt) adj. wealthy"
"Name the vocab term: v. to exaggerate; to increase the scope of Hint: starts with “a”","aggrandize synonyms: enlarge, glorify, augment, amplify, elevate She tried to aggrandize her achievements during the interview.”"
"Fill in the blank: His rude comment was seen as an ______ to her dignity. Hint: Starts with “a” and means “an insult or offense”.","affront affront (uh-front) n. an offensive act or statement v. to insult openly"
"Name the vocab term: adj. pertaining to farming or land matters Hint: starts with “a”","agrarian synonyms: agricultural, country, rural, farming, pastoral The agrarian policies aim to support local farmers."
"Fill in the blank: She accepted the invitation with ______. Hint: Starts with “a” and means “cheerful readiness”.","alacrity alacrity (uh-lack-ruh-tee) n. enthusiasm; speed"
"Name the vocab term: n. a small cavity in a rock Hint: starts with “v”","vug synonyms: cavity, depression, hole, recess, hollow The geologist found a vug filled with sparkling crystals."
"Fill in the blank: The ______ surface of the mountain made climbing challenging. Hint: Starts with “p” and means “resembling rock; hard”.","petrous petrous (pet-ruhss) adj. rock-hard; stony"
"Name the vocab term: n. a statement that is trivially true; unnecessary repetition Hint: starts with “t”","tautology synonyms: equivalence, redundancy, repetition, circular reasoning, tautological statement His explanation contained a tautology that added no new information."
"Fill in the blank: The children began to ______ in the sunny meadow. Hint: Starts with “g” and means “to skip or jump playfully”.","gambol gambol (gam-buhl) v. to skip playfully, to frolic"
